MANAGEMENT_TYPE_USE,JURISDICTION,JURISDICTIONAL_WATERS,FMP,SECTOR_USE,REGION,SPP_NAME,SECTOR_ID
ACL,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. THOMAS AND ST. JOHN,ALL,CARIBBEAN,SNAPPERS 1,1896
BAG LIMIT,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. THOMAS AND ST. JOHN,RECREATIONAL,CARIBBEAN,"BAG LIMIT: ANGELFISHES, GRUNTS, JACKS, PORGIES, SURGEONFISHES, TRIGGERFISHES, AND WRASSES COMBINED",1897
BAG LIMIT,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. THOMAS AND ST. JOHN,RECREATIONAL,CARIBBEAN,SURGEONFISH,1898
BAG LIMIT,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. THOMAS AND ST. JOHN,RECREATIONAL,CARIBBEAN,"BAG LIMIT: GROUPERS, PARROTFISHES, AND SNAPPERS COMBINED",1899
BAG LIMIT,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. THOMAS AND ST. JOHN,RECREATIONAL,CARIBBEAN,PARROTFISH 2,1900
LANDED INTACT,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. THOMAS AND ST. JOHN,RECREATIONAL,CARIBBEAN,"LOBSTER, CARIBBEAN SPINY",1901
LANDED INTACT,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. THOMAS AND ST. JOHN,COMMERCIAL,CARIBBEAN,"LOBSTER, CARIBBEAN SPINY",1902
PROHIBITED SPECIES,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. THOMAS AND ST. JOHN,RECREATIONAL,CARIBBEAN,"LOBSTER, CARIBBEAN SPINY",1903
PROHIBITED SPECIES,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. THOMAS AND ST. JOHN,COMMERCIAL,CARIBBEAN,"LOBSTER, CARIBBEAN SPINY",1904
PROHIBITED SPECIES,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. CROIX,RECREATIONAL,CARIBBEAN,"CONCH, QUEEN",1905
PROHIBITED SPECIES,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. CROIX,COMMERCIAL,CARIBBEAN,"CONCH, QUEEN",1906
BAG LIMIT,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. THOMAS AND ST. JOHN,RECREATIONAL,CARIBBEAN,"LOBSTER, CARIBBEAN SPINY",1907
PROHIBITED SALE AND PURCHASE,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. THOMAS AND ST. JOHN,RECREATIONAL,CARIBBEAN,PROHIBITED SALE AND PURCHASE: CORALS,1908
PROHIBITED SALE AND PURCHASE,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. THOMAS AND ST. JOHN,COMMERCIAL,CARIBBEAN,PROHIBITED SALE AND PURCHASE: CORALS,1909
PROHIBITED SALE AND PURCHASE,FEDERAL,EEZ,FMP FOR THE EEZ AROUND PUERTO RICO,RECREATIONAL,CARIBBEAN,PROHIBITED SALE AND PURCHASE: CORALS,1910
PROHIBITED SALE AND PURCHASE,FEDERAL,EEZ,FMP FOR THE EEZ AROUND PUERTO RICO,COMMERCIAL,CARIBBEAN,PROHIBITED SALE AND PURCHASE: CORALS,1911
BAG LIMIT,FEDERAL,EEZ,FMP FOR THE EEZ AROUND PUERTO RICO,RECREATIONAL,CARIBBEAN,"BAG LIMIT: GROUPERS, PARROTFISHES, AND SNAPPERS COMBINED",1912
PROHIBITED SPECIES,FEDERAL,EEZ,FMP FOR THE EEZ AROUND PUERTO RICO,RECREATIONAL,CARIBBEAN,"LOBSTER, CARIBBEAN SPINY",1913
PROHIBITED SPECIES,FEDERAL,EEZ,FMP FOR THE EEZ AROUND PUERTO RICO,COMMERCIAL,CARIBBEAN,"LOBSTER, CARIBBEAN SPINY",1914
BAG LIMIT,FEDERAL,EEZ,FMP FOR THE EEZ AROUND PUERTO RICO,RECREATIONAL,CARIBBEAN,"BAG LIMIT: ANGELFISHES, GRUNTS, JACKS, SURGEONFISHES, TRIGGERFISHES, AND WRASSES COMBINED",1915
BAG LIMIT,FEDERAL,EEZ,FMP FOR THE EEZ AROUND PUERTO RICO,RECREATIONAL,CARIBBEAN,SURGEONFISH,1916
LANDED INTACT,FEDERAL,EEZ,FMP FOR THE EEZ AROUND PUERTO RICO,RECREATIONAL,CARIBBEAN,"LOBSTER, CARIBBEAN SPINY",1917
LANDED INTACT,FEDERAL,EEZ,FMP FOR THE EEZ AROUND PUERTO RICO,COMMERCIAL,CARIBBEAN,"LOBSTER, CARIBBEAN SPINY",1918
BAG LIMIT,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. CROIX,RECREATIONAL,CARIBBEAN,"CONCH, QUEEN",1919
BAG LIMIT,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. CROIX,RECREATIONAL,CARIBBEAN,"BAG LIMIT: ANGELFISHES, GRUNTS, SQUIRRELFISHES, SURGEONFISHES, AND TRIGGERFISHES COMBINED",1920
BAG LIMIT,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. CROIX,RECREATIONAL,CARIBBEAN,"BAG LIMIT: GROUPERS, PARROTFISHES, AND SNAPPERS COMBINED",1921
BAG LIMIT,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. CROIX,RECREATIONAL,CARIBBEAN,SURGEONFISH,1922
BAG LIMIT,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. CROIX,RECREATIONAL,CARIBBEAN,"LOBSTER, CARIBBEAN SPINY",1923
BAG LIMIT,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. CROIX,RECREATIONAL,CARIBBEAN,PARROTFISH 2,1924
BAG LIMIT,FEDERAL,EEZ,FMP FOR THE EEZ AROUND PUERTO RICO,RECREATIONAL,CARIBBEAN,"LOBSTER, CARIBBEAN SPINY",1925
CLOSURE,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. THOMAS AND ST. JOHN,RECREATIONAL,CARIBBEAN,ALL,1926
CLOSURE,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. THOMAS AND ST. JOHN,COMMERCIAL,CARIBBEAN,ALL,1927
