MANAGEMENT_TYPE_USE,JURISDICTION,JURISDICTIONAL_WATERS,FMP,SECTOR_USE,SUBSECTOR_USE,REGION,SPP_NAME,CLUSTER
ACL,FEDERAL,EEZ,FMP FOR THE EEZ AROUND PUERTO RICO,COMMERCIAL,ALL,CARIBBEAN,SNAPPER 2,2365
CLOSURE,FEDERAL,EEZ,FMP FOR THE EEZ AROUND PUERTO RICO,RECREATIONAL,GILLNETS OR TRAMMEL NETS,CARIBBEAN,ALL,2366
CLOSURE,FEDERAL,EEZ,FMP FOR THE EEZ AROUND PUERTO RICO,COMMERCIAL,GILLNETS OR TRAMMEL NETS,CARIBBEAN,ALL,2367
CLOSURE,FEDERAL,EEZ,FMP FOR THE EEZ AROUND PUERTO RICO,RECREATIONAL,BOTTOM LONGLINE,CARIBBEAN,ALL,2368
CLOSURE,FEDERAL,EEZ,FMP FOR THE EEZ AROUND PUERTO RICO,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,ALL,2369
CLOSURE,FEDERAL,EEZ,FMP FOR THE EEZ AROUND PUERTO RICO,RECREATIONAL,POTS AND TRAPS,CARIBBEAN,ALL,2370
CLOSURE,FEDERAL,EEZ,FMP FOR THE EEZ AROUND PUERTO RICO,COMMERCIAL,POTS AND TRAPS,CARIBBEAN,ALL,2371
CLOSURE,FEDERAL,EEZ,FMP FOR THE EEZ AROUND PUERTO RICO,RECREATIONAL,ALL,CARIBBEAN,ALL,2372
CLOSURE,FEDERAL,EEZ,FMP FOR THE EEZ AROUND PUERTO RICO,COMMERCIAL,ALL,CARIBBEAN,ALL,2373
ACL,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. THOMAS AND ST. JOHN,ALL,ALL,CARIBBEAN,SNAPPERS 3,2374
ACL,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. THOMAS AND ST. JOHN,ALL,ALL,CARIBBEAN,SNAPPERS 2,2375
ACL,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. THOMAS AND ST. JOHN,ALL,ALL,CARIBBEAN,SNAPPERS 4,2376
ACL,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. THOMAS AND ST. JOHN,ALL,ALL,CARIBBEAN,SNAPPERS 1,2377
BAG LIMIT,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. THOMAS AND ST. JOHN,RECREATIONAL,ALL,CARIBBEAN,"BAG LIMIT: ANGELFISHES, GRUNTS, JACKS, PORGIES, SURGEONFISHES, TRIGGERFISHES, AND WRASSES COMBINED",2378
BAG LIMIT,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. THOMAS AND ST. JOHN,RECREATIONAL,ALL,CARIBBEAN,SURGEONFISH,2379
BAG LIMIT,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. THOMAS AND ST. JOHN,RECREATIONAL,ALL,CARIBBEAN,"BAG LIMIT: GROUPERS, PARROTFISHES, AND SNAPPERS COMBINED",2380
BAG LIMIT,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. THOMAS AND ST. JOHN,RECREATIONAL,ALL,CARIBBEAN,PARROTFISH 2,2381
LANDED INTACT,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. THOMAS AND ST. JOHN,RECREATIONAL,ALL,CARIBBEAN,"LOBSTER, CARIBBEAN SPINY",2382
LANDED INTACT,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. THOMAS AND ST. JOHN,COMMERCIAL,ALL,CARIBBEAN,"LOBSTER, CARIBBEAN SPINY",2383
PROHIBITED SPECIES,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. THOMAS AND ST. JOHN,RECREATIONAL,ALL,CARIBBEAN,"LOBSTER, CARIBBEAN SPINY",2384
PROHIBITED SPECIES,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. THOMAS AND ST. JOHN,COMMERCIAL,ALL,CARIBBEAN,"LOBSTER, CARIBBEAN SPINY",2385
PROHIBITED SPECIES,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. CROIX,RECREATIONAL,ALL,CARIBBEAN,"CONCH, QUEEN",2386
PROHIBITED SPECIES,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. CROIX,COMMERCIAL,ALL,CARIBBEAN,"CONCH, QUEEN",2387
BAG LIMIT,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. THOMAS AND ST. JOHN,RECREATIONAL,ALL,CARIBBEAN,"LOBSTER, CARIBBEAN SPINY",2388
PROHIBITED SALE AND PURCHASE,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. THOMAS AND ST. JOHN,RECREATIONAL,ALL,CARIBBEAN,PROHIBITED SALE AND PURCHASE: CORALS,2389
PROHIBITED SALE AND PURCHASE,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. THOMAS AND ST. JOHN,COMMERCIAL,ALL,CARIBBEAN,PROHIBITED SALE AND PURCHASE: CORALS,2390
